ajla,tomljanovic
aleksandra,krunic
aliaksandra,sasnovich
​alison-riske,amritraj
alison-van,uytvanck
alizé,corne
amanda,anisimova
ana,bogdan
anastasia,gasanova
andrea,petkovi
anett,kontaveit
angelique,kerbe
anhelina,kalinina
anna,bondar
anna,kalinskaya
​anna-karolina,schmiedlova
ann,li
arantxa,rus
aryna,sabalenka
astra,sharma
barbora,krejcikova
beatriz-haddad,maia
belinda,bencic
bernarda,pera
bianca,andreescu
camila,giorgi
camila,osorio
carole,monnet
caroline,garcia
chloe,paquet
claire,liu
clara,burel
cori,gauff
cristina,bucsa
dalma,galfi
danielle,collins
​danka,kovinic
daria,kasatkina
daria,saville
​dayana,yastremska
diane,parry
donna,vekic
ekaterina,alexandrova
elena-gabriela,ruse
elena,rybakina
elise,mertens
elsa,jacquemot
emma,raducanu
fernanda-contreras,gomez
fiona,ferro
garbine,muguruza
greet,minnen
hailey,baptiste
harmony,tan
harriet,dart
heather,watson
iga,swiatek
irina,bara
irina-camelia,begu
jasmine,paolini
jelena,ostapenko
jessica,pegula
jil,teichmann
jule,niemeier
kaia,kane
kaja,juvan
kamilla,rakhimova
karolina,muchova
karolina,pliskova
katerina,siniakova
katie,volynets
​kristina,kucova
kristina,mladenovic
leolia,jeanjean
​lesia,tsurenko
leylah,fernandez
linda,noskova
lin,zhu
​liudmila,samsonova
lucia,bronzetti
madison,brengl
madison,keys
magdalena,frech
magda,linette
maria,sakkari
marie,bouzkova
marta,kostyuk
martina,trevisan
maryna,zanevska
mayar,sherif
mihaela,buzarnesc
mirjam,bjorklund
misaki,doi
naomi,osaka
nastasja,schunk
nuria-parrizas,diaz
oceane,dodin
oksana,selekhmeteva
olga,danilovic
ons,jabeur
panna,udvardy
paula,badosa
petra,kvitova
petra,martic
qiang,wang
qinwen,zheng
rebecca,marino
rebecca,sramkova
reka-luca,jani
shelby,rogers
shuai,zhan
​simona,halep
sloane,stephens
sorana,cirste
tamara,zidansek
tatjana,mari
taylor,townsend
tereza,martincova
tessah,andrianjafitrimo
valentini,grammatikopoulou
varvara,gracheva
veronika,kudermetova
victoria,azarenk
viktorija,golubic
viktoriya,tomova
xinyu,wang
ysaline,bonaventure
yulia,putintseva
